Age;3H;3He(trit);3Ho;3H/3Ho;SF6
375;0,856043033;10,11357492;10,96948139;0,134753228;0,014193214
376;0,850426408;10,06897362;10,91926421;0,134753228;0,014048542
377;0,844844938;10,02463;10,86933886;0,134753228;0,0139055
378;0,839298423;9,980540874;10,81970395;0,134753228;0,013764067
379;0,833786669;9,936706066;10,77035812;0,134753228;0,013624223
380;0,828309479;9,893125393;10,72130106;0,134753228;0,013485949
381;0,822866658;9,849795698;10,67252926;0,134753228;0,013349225
382;0,817458012;9,806716801;10,62404243;0,134753228;0,013214032
383;0,812083349;9,763888505;10,5758392;0,134753228;0,013080351
384;0,806742475;9,721307685;10,52791926;0,134753228;0,012948163
385;0,801435199;9,678974151;10,48027914;0,134753228;0,012817449
386;0,79616133;9,636887699;10,43291853;0,134753228;0,012688192
387;0,790920677;9,595045232;10,38583713;0,134753228;0,012560373
388;0,785713052;9,553447508;10,3390315;0,134753228;0,012433975
389;0,780538266;9,512091451;10,29250132;0,134753228;0,01230898
390;0,775396131;9,470977806;10,24624628;0,134753228;0,012185372
391;0,77028646;9,430103515;10,20026297;0,134753228;0,012063132
392;0,765209067;9,389469312;10,1545521;0,134753228;0,011942244
393;0,760163767;9,349072159;10,10911029;0,134753228;0,011822693
394;0,755150375;9,308912778;10,06393823;0,134753228;0,01170446
395;0,750168708;9,268988152;10,01903256;0,134753228;0,011587531
396;0,745218582;9,229298989;9,974393973;0,134753228;0,01147189
397;0,740299816;9,189842294;9,930019129;0,134753228;0,01135752
398;0,735412228;9,150618764;9,885908695;0,134753228;0,011244406
399;0,730555637;9,111626334;9,84205937;0,134753228;0,011132534
400;0,725729864;9,072862959;9,798471805;0,134753228;0,011021887
401;0,72093473;9,034329317;9,755143696;0,134753228;0,010912452
402;0,716170058;8,996023366;9,71207276;0,134753228;0,010804213
403;0,711435668;8,957943076;9,669259634;0,134753228;0,010697156
404;0,706731386;8,920089113;9,626702038;0,134753228;0,010591267
405;0,702057036;8,882459452;9,584397709;0,134753228;0,010486531
406;0,697412442;8,845052084;9,542347271;0,134753228;0,010382936
407;0,692797431;8,807867659;9,500548465;0,134753228;0,010280467
408;0,688211829;8,770904172;9,458999054;0,134753228;0,01017911
409;0,683655464;8,734160506;9,417699646;0,134753228;0,010078852
