# Date, Tracer1, Tracer2
1951-11,15.875,2.280
1951-12,15.753,2.283
1952-01,15.632,2.287
1952-02,15.512,2.290
1952-03,15.392,2.294
1952-04,15.274,2.297
1952-05,15.157,2.301
1952-06,15.040,2.304
1952-07,14.925,2.308
1952-08,14.810,2.311
1952-09,14.696,2.315
1952-10,14.583,2.318
1952-11,14.471,2.321
1952-12,14.360,2.325
1953-01,14.250,2.328
1953-02,14.140,2.332
1953-03,14.032,2.335
1953-04,13.924,2.339
1953-05,13.817,2.343
1953-06,13.711,2.346
1953-07,13.606,2.350
1953-08,13.501,2.353
1953-09,13.398,2.356
1953-10,13.295,2.359
1953-11,13.193,2.363
1953-12,13.092,2.366
1954-01,12.991,2.369
1954-02,12.892,2.373
1954-03,12.793,2.376
1954-04,12.695,2.380
1954-05,12.597,2.383
1954-06,12.501,2.386
1954-07,12.405,2.390
1954-08,12.310,2.393
1954-09,12.215,2.397
1954-10,12.122,2.400
1954-11,12.029,2.403
1954-12,11.937,2.406
1955-01,11.845,2.409
1955-02,11.755,2.413
1955-03,11.665,2.416
1955-04,11.575,2.420
1955-05,11.487,2.423
1955-06,11.399,2.426
1955-07,11.311,2.429
1955-08,11.225,2.432
1955-09,11.139,2.436
1955-10,11.054,2.439
1955-11,10.969,2.442
1955-12,10.885,2.445
1956-01,10.802,2.448
1956-02,10.719,2.452
1956-03,10.637,2.455
1956-04,10.556,2.458
1956-05,10.475,2.461
1956-06,10.395,2.464
1956-07,10.316,2.467
1956-08,10.237,2.471
1956-09,10.159,2.474
1956-10,10.081,2.477
1956-11,10.004,2.480
1956-12,9.928,2.483
1957-01,9.852,2.486
1957-02,9.777,2.489
1957-03,9.702,2.492
1957-04,9.628,2.495
1957-05,9.555,2.498
1957-06,9.482,2.502
1957-07,9.409,2.505
1957-08,9.338,2.508
1957-09,9.266,2.511
1957-10,9.196,2.514
1957-11,9.126,2.517
1957-12,9.056,2.520
1958-01,8.987,2.523
1958-02,8.918,2.526
1958-03,8.850,2.529
1958-04,8.783,2.532
1958-05,8.716,2.535
1958-06,8.650,2.538
1958-07,8.584,2.541
1958-08,8.519,2.544
1958-09,8.454,2.547
1958-10,8.389,2.550
1958-11,8.326,2.553
1958-12,8.262,2.556
1959-01,8.199,2.559
1959-02,8.137,2.562
1959-03,8.075,2.565
1959-04,8.014,2.568
1959-05,7.953,2.571
1959-06,7.892,2.574
1959-07,7.833,2.577
1959-08,7.773,2.580
1959-09,7.714,2.583
1959-10,7.655,2.586
1959-11,7.597,2.589
1959-12,7.540,2.592
1960-01,7.482,2.595
1960-02,7.426,2.598
1960-03,7.369,2.601
1960-04,7.314,2.604
1960-05,7.258,2.607
1960-06,7.203,2.610
1960-07,7.148,2.613
1960-08,7.094,2.616
1960-09,7.040,2.619
1960-10,6.987,2.621
1960-11,6.934,2.624
1960-12,6.882,2.627
1961-01,6.830,2.630
1961-02,6.778,2.633
1961-03,6.727,2.636
1961-04,6.676,2.639
1961-05,6.625,2.642
1961-06,6.575,2.644
1961-07,6.525,2.647
1961-08,6.476,2.650
1961-09,6.427,2.653
1961-10,6.379,2.656
1961-11,6.330,2.659
1961-12,6.283,2.662
1962-01,6.235,2.665
1962-02,6.188,2.668
1962-03,6.142,2.670
1962-04,6.095,2.673
1962-05,6.049,2.676
1962-06,6.004,2.679
1962-07,5.958,2.681
1962-08,5.913,2.684
1962-09,5.869,2.687
1962-10,5.825,2.690
1962-11,5.781,2.693
1962-12,5.737,2.695
1963-01,5.694,2.698
1963-02,5.651,2.701
1963-03,5.609,2.704
1963-04,5.566,2.706
1963-05,5.525,2.709
1963-06,5.483,2.712
1963-07,5.442,2.715
1963-08,5.401,2.717
1963-09,5.360,2.720
1963-10,5.320,2.723
1963-11,5.280,2.726
1963-12,5.241,2.729
1964-01,5.201,2.731
1964-02,5.162,2.734
1964-03,5.124,2.736
1964-04,5.085,2.739
1964-05,5.047,2.742
1964-06,5.009,2.745
1964-07,4.972,2.747
1964-08,4.935,2.750
1964-09,4.898,2.753
1964-10,4.861,2.756
1964-11,4.825,2.758
1964-12,4.789,2.761
1965-01,4.753,2.764
1965-02,4.717,2.766
1965-03,4.682,2.769
1965-04,4.647,2.772
1965-05,4.612,2.775
1965-06,4.578,2.778
1965-07,4.544,2.780
1965-08,4.510,2.783
1965-09,4.476,2.785
1965-10,4.443,2.788
1965-11,4.410,2.791
1965-12,4.377,2.793
1966-01,4.344,2.796
1966-02,4.312,2.798
1966-03,4.280,2.801
1966-04,4.248,2.803
1966-05,4.216,2.806
1966-06,4.185,2.808
1966-07,4.154,2.811
1966-08,4.123,2.813
1966-09,4.092,2.816
1966-10,4.062,2.818
1966-11,4.032,2.821
