tts,weights
2.967370e+03,5.260976e-04
3.202940e+03,5.706235e-04
3.045030e+03,5.369901e-04
3.231615e+03,5.637050e-04
3.070909e+03,5.480334e-04
1.888271e+03,6.012651e-04
1.894819e+03,5.823542e-04
3.282453e+03,5.454465e-04
3.157399e+03,5.668196e-04
3.310762e+03,5.706235e-04
3.184271e+03,5.480334e-04
2.006272e+03,6.012651e-04
1.944245e+03,5.977798e-04
2.010962e+03,6.012651e-04
1.946247e+03,5.902904e-04
3.342523e+03,5.638613e-04
3.255576e+03,5.668196e-04
3.367836e+03,5.454465e-04
3.274278e+03,5.668196e-04
2.101423e+03,6.181327e-04
2.070731e+03,5.977798e-04
2.101551e+03,6.012651e-04
2.070356e+03,5.977798e-04
3.367956e+03,5.638613e-04
3.312520e+03,5.668196e-04
3.384752e+03,5.638613e-04
3.325083e+03,5.668196e-04
2.162221e+03,6.181327e-04
2.159605e+03,6.021098e-04
2.158917e+03,6.181327e-04
2.151976e+03,6.021098e-04
3.348914e+03,5.877565e-04
3.324375e+03,6.008148e-04
3.356618e+03,5.877565e-04
3.326931e+03,6.008148e-04
2.185387e+03,6.310348e-04
2.202705e+03,6.382492e-04
2.174676e+03,6.310348e-04
2.191102e+03,6.021098e-04
3.287219e+03,6.077492e-04
3.290339e+03,6.364361e-04
3.291672e+03,5.758926e-04
3.288887e+03,6.008148e-04
2.168686e+03,6.382492e-04
2.202140e+03,6.022572e-04
2.156232e+03,6.310348e-04
2.187889e+03,6.022572e-04
3.194251e+03,6.410664e-04
3.221621e+03,6.705501e-04
3.196893e+03,6.077492e-04
3.219600e+03,6.364361e-04
2.118487e+03,6.382492e-04
2.158353e+03,5.975112e-04
2.107175e+03,6.382492e-04
2.145533e+03,5.975112e-04
3.085004e+03,6.705501e-04
3.130952e+03,6.923838e-04
3.084570e+03,6.364361e-04
3.127986e+03,6.635860e-04
2.040021e+03,6.384854e-04
2.078061e+03,5.875627e-04
2.030050e+03,6.384854e-04
2.069146e+03,5.875627e-04
2.969012e+03,6.923838e-04
3.026511e+03,7.129666e-04
